,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
30,Commercial/Commerciale, Services fournis principalement aux entreprises ,80,12/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,"salaire de 4500 dh + PRIME VARIABLE Missions : -Traite les interactions clients (via appels, mails, courrier, chat, réseaux sociaux, fiches, dossiers…) et assure leur satisfaction - Propose et vend des services, produits ou solutions Tâches / Activités : Réception appel / assistance, conseil, renseignement, information, fidélisation, hotline","Baccalauréat ,Bac marocain ou bac élémentaire ",(6 mois - 1 an),Francais : Courant,"Gestion de la relation client,Communication,Utilisation des outils informatiques"
31,Chef de Département," Agriculture, chasse ",1,12/03/2024,non spécifié, INEZGANE AIT MELLOUL ,CDI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
32,Operateur de production de l’industrie automobile, Postes et télécommunications ,30,12/03/2024,18/03/2024, TANGER-FAHS-ANJRA,CI,non spécifié,Baccalauréat,non spécifié,"Francais : , Anglais : ",non spécifié
33,Vendeur/Vendeuse, Santé et action sociale ,1,12/03/2024,non spécifié, SALE ,CI,non spécifié,Baccalauréat,non spécifié,Francais : Courant,non spécifié
34,Technicien de maintenance sur installation industrielle automatisé," Captage, traitement et distribution d'eau ",1,12/03/2024,non spécifié, BERRECHID,CI,"Emploi-métier : Electricien Missions : • Assurer le bon fonctionnement des installations électriques et veiller à la réalisation des actions de maintenance dans les meilleures conditions de sécurité, qualité et délai, • Etre responsable de la santé et la sécurité des collaborateurs et des tiers impactés par ses activités. Tâches / • Réalise le programme de maintenance préventive, • Assure avec célérité et efficacité la réparation des pannes électriques, • Etablit le reporting mensuel, • Veille au respect des règles de sécurité et en particulier au respect des habilitations, • Suit les travaux de réhabilitation électrique, • Participe aux projets d’installation du nouveau matériel électrique, • Etablit régulièrement ses besoins en matériel de rechange et outillage, • Participe à l’élaboration du budget, • Veille au respect des objectifs budgétaires, • Relève les consommations électriques des logements du personnel de l’usine. • Résoudre les Problèmes électriques • Intervention sur les disjoncteurs et relais de Société • Relevé mensuel des compteurs d’énergie • Suivi des travaux sur le réseau téléphonique de l'Usine • Suivi de la maintenance des monte-charges • Marchés de réhabilitation et de modernisation ","Technicien spécialisé ,Charge (e) de la maintenance des systèmes automatises ",(1 an - 2 ans),"Francais : Bon, Arabe : Langue maternelle",non spécifié
35,Secrétaire bureautique spécialisé, Industrie automobile ,2,12/03/2024,non spécifié, FES,CDI,Établir les devis -les factures- accueil client. travail sur plusieurs systèmes. Maitrise de l'outil informatique. ,"Technicien spécialisé ,Comptabilité et Gestion ",(6 mois - 1 an),"Arabe : Moyen, Francais : Courant, Anglais : Notions",ASSURANCE
36,Monteur câbleur en électronique., Industrie automobile ,100,12/03/2024,non spécifié, MEKNES-EL MENZEH,CI,non spécifié,"Sans diplôme ,Dernière année d’enseignement collégial sans obtention du Brevet d’enseignement collégial ",non spécifié,Francais : Moyen,non spécifié
37,Opérateur sur machines automatiques en production électrique ou électronique., Autres ,30,12/03/2024,20/03/2024, BOUKNADEL,CI,non spécifié,Diplôme de qualification professionnelle,(moins de 6 mois),Francais : Bon,non spécifié
38,Opérateur sur machines automatiques en production électrique ou électronique., Autres ,30,12/03/2024,20/03/2024, BOUKNADEL,CDD,contrat d'apprentissage CFA,"Sans diplôme ,Sans option ",(moins de 6 mois),Francais : Bon,non spécifié
39,Employé de service personnel," Agriculture, chasse ",1,12/03/2024,non spécifié, CHTOUKA AIT BAHA,CDD,- GESTION DE LA PAIE - TRAITEMENT DES ELEMENTS DE PAIE - GESTION DES D2CLARATIONS SOCIALES - SUIVI DES DOSSIERS ADMINISTRATIFS DU PERSONNEL ,non spécifié,(1 an - 2 ans),"Arabe : Courant, Francais : Bon, Anglais : Moyen",non spécifié
40,Agent de sécurité et de surveillance, Santé et action sociale ,97,12/03/2024,non spécifié, TETOUAN ,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
41,Entraîneur sportif, Administration publique ,40,12/03/2024,non spécifié, TIZNIT ,CDD,Assurer la surveillance des estivants durans la saison balneaire.,non spécifié,non spécifié,non spécifié,non spécifié
42,Moniteur-éducateur, Education ,1,12/03/2024,non spécifié, AL HOCEIMA ,CDD,non spécifié,Baccalauréat,(6 mois - 1 an),"Arabe : Courant, Francais : Bon",non spécifié
43,Employé de gestion administrative, Services fournis principalement aux entreprises ,5,12/03/2024,non spécifié, FES,CI,ARCHIVAGE DE DOCUMENT ,"Technicien spécialisé ,Techniques de développement Informatique ",non spécifié,"Francais : Courant, Anglais : Moyen, Arabe : Courant",non spécifié
44,Opérateur sur machines automatiques en production électrique ou électronique., Fabrication de machines et appareils électriques ,60,12/03/2024,non spécifié, CASA-NOUACER,CI,non spécifié,"Baccalauréat ,Sc expérimentales ",non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
45,Soudeurs,non spécifié,2,12/03/2024,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
